run,seconds,loss,out_1,out_2,kernel_1,kernel_2
1,665,0.0031,64,128,9,9
2,279,0.0056,64,128,9,5
3,98,0.0093,64,128,9,3
4,667,0.0043,64,128,5,9
5,274,0.0068,64,128,5,5
6,96,0.0112,64,128,5,3
7,665,0.0047,64,128,3,9
8,271,0.0062,64,128,3,5
9,92,0.0119,64,128,3,3
10,1350,0.0022,64,256,9,9
11,567,0.0043,64,256,9,5
12,174,0.0088,64,256,9,3
13,1339,0.0028,64,256,5,9
14,561,0.0045,64,256,5,5
15,169,0.0093,64,256,5,3
16,1332,0.0033,64,256,3,9
17,558,0.0043,64,256,3,5
18,152,0.0099,64,256,3,3
19,708,0.0029,128,64,9,9
20,567,0.0043,128,64,9,5
21,169,0.0099,128,64,9,3
22,708,0.0020,128,64,5,9
23,1457,0.0028,128,64,5,5
24,2401,0.0051,128,64,5,3
25,2710,0.0023,128,64,3,9
26,2736,0.0037,128,64,3,5
27,2316,0.0048,128,64,3,3
28,1314,0.0023,128,256,9,9
29,882,0.0043,128,256,9,5
30,1666,0.0023,128,256,9,3
31,1126,0.0036,128,256,5,9
32,2250,0.0048,128,256,5,5
33,2370,0.0021,128,256,5,3
34,1003,0.0028,128,256,3,9
35,2037,0.0051,128,256,3,5
36,2310,0.0023,128,256,3,3
37,2175,0.0036,256,64,9,9
38,2445,0.0049,256,64,9,5
39,1245,0.0020,256,64,9,3
40,3765,0.0028,256,64,5,9
41,223,0.0056,256,64,5,5
